uuid;tid;x_coord;y_coord;id;in_operation;is_slack;operates_from;operates_until;scenario;subnet;v_rated;v_target;volt_lvl
0c77e518-9da0-3eb2-aeab-56ddf48da057;12224;12.8273;52.2895;NS_NET126_F3_(4);t;f;;;;126;0.400000005960464;1;NS
8a3daa84-fdc1-3867-8ffb-c1222f0068e3;12233;12.8273;52.2895;NS_NET126_F4_(12);t;f;;;;126;0.400000005960464;1;NS
a3162d57-ec1a-3786-8f15-fba6077d2842;12237;12.8273;52.2895;NS_NET126_F4_(16);t;f;;;;126;0.400000005960464;1;NS
30ab8b05-8ba5-360e-81ca-4b6341ee3a91;12083;12.8273;52.2895;MS1_01;t;f;;;;11;20;1;MS
48b3598f-ea69-3268-b942-3fec4daa89a2;12085;12.8273;52.2895;MS1_03;t;f;;;;11;20;1;MS
0b067779-53ab-3ff2-a841-a8af835c2729;12087;12.8273;52.2895;MS1_05;t;f;;;;11;20;1;MS
345f19b5-24d5-39a5-9003-3db90c016242;12090;12.8273;52.2895;MS1_07;t;f;;;;11;20;1;MS
dc9f1b0a-207a-3c83-aa21-900e1de0ebdb;12091;12.8273;52.2895;MS2_01;t;f;;;;12;20;1;MS
c2679d6b-5e7c-32d1-9a85-6e3804e48085;12093;12.8273;52.2895;MS2_03;t;f;;;;12;20;1;MS
68622b51-9259-3f0f-9874-26de36fecbde;12095;12.8273;52.2895;MS2_05;t;f;;;;12;20;1;MS
a44db772-e6ba-3f0e-b083-7330a0fb85cd;12098;12.8273;52.2895;MS2_07;t;f;;;;12;20;1;MS
8b1e23c8-1d18-3c2e-8d12-33d37e67cba3;12099;12.8273;52.2895;MS3_01;t;f;;;;13;20;1;MS
69e15dc3-7f9c-36f1-82c8-4e89356645fe;12101;12.8273;52.2895;MS3_03;t;f;;;;13;20;1;MS
71ab4f1c-fdec-3418-8d72-5fbe0d7453a5;12103;12.8273;52.2895;MS3_05;t;f;;;;13;20;1;MS
4e487386-4d3e-3a3a-b0ef-3def82f11161;12106;12.8273;52.2895;MS3_07;t;f;;;;13;20;1;MS
a6b225c7-52b9-36ca-99fc-05a039a3a52d;12107;12.8273;52.2895;MS4_01;t;f;;;;14;20;1;MS
b0d9151b-814e-3a61-a122-85f3c2c46ee0;12109;12.8273;52.2895;MS4_03;t;f;;;;14;20;1;MS
c4954b25-317f-3a33-b96e-e1d3b7bd0fa3;12111;12.8273;52.2895;MS4_05;t;f;;;;14;20;1;MS
486def30-f1a4-3a1d-abc3-874b015c5cd6;12114;12.8273;52.2895;MS4_07;t;f;;;;14;20;1;MS
adc65d9a-3b86-3894-9cb9-16113fb00aee;12081;12.8273;52.2895;HS_NET1_Station_4;t;f;;;;1;110;1;HS
c8e2086c-4384-346c-85ad-939909fa36be;12077;12.8273;52.2895;HS_NET1_Station_2;t;f;;;;1;110;1;HS
75034fbe-8de2-30eb-99c1-a853a5c03ff6;12243;12.8273;52.2895;NS_NET126_F4_(6);t;f;;;;126;0.400000005960464;1;NS
