uuid;tid;amount;st_astext;id;in_operation;length;node_a;node_b;operates_from;operates_until;scenario;type
29bb45ef-af7c-361d-8e74-8e0e32458358;236074;1;;LTG_NS_NET146_F2_(2)-NS_NET146_F2_(1);t;0.028999999165535;12314;12303;;;;10
04acbf34-e021-32e7-8e20-2475d3702d7d;236101;1;;LTG_NS_NET146_F3_(19)-NS_NET146_F3_(20);t;0.0199999995529652;12341;12343;;;;10
ceb2698a-a560-3d49-97b3-0e6915ea0be2;236089;1;;LTG_NS_NET146_F3_(30)-NS_NET146_F3_(31);t;0.0230000000447035;12354;12355;;;;10
e36c5239-1dfc-3f4e-9660-ea191f35f037;236108;1;;LTG_NS_NET146_F3_(29)-NS_NET146_F3_(30);t;0.028999999165535;12352;12354;;;;16
06f78f44-91af-376f-b029-c8025f213440;236054;1;LINESTRING(7.39249992370605 51.810001373291,7.39249992370605 51.810001373291);LTG_NS_NET146_F2_(20)-NS_NET146_F2_(21);t;0.025000000372529;12315;12316;;;;3
36861053-9e62-3f41-a167-d081d041cb8e;236078;1;;LTG_NS_NET146_F2_(4)-NS_NET146_F2_(5);t;0.0209999997168779;12325;12326;;;;16
3b684113-1944-3fde-abdf-f25ee27493c4;236013;1;;LTG_NS_NET146_F1_(37)-NS_NET146_F1_(36);t;0.0549999997019768;12294;12293;;;;10
1ff208d6-afbc-3e76-983b-cb9c478b39d7;235986;1;;LTG_NS_NET126_F3_(7)-NS_NET126_F3_(8);t;0.0320000015199184;12227;12228;;;;16
163abcbe-7c96-3051-988d-bcb05a0be962;235879;1;LINESTRING(7.39249992370605 51.810001373291,7.39249992370605 51.810001373291);LTG_NS_NET126_F1_(10)-NS_NET126_F1_(11);t;0.0270000007003546;12132;12133;;;;16
64eee465-daa8-3d70-a5a9-6bd6673860ef;235888;1;;LTG_NS_NET126_F1_(18)-NS_NET126_F1_(19);t;0.0299999993294477;12140;12141;;;;10
69f36a45-cf23-3caf-b91a-d80eeb8c0dd4;235936;1;LINESTRING(7.39249992370605 51.810001373291,7.39249992370605 51.810001373291);LTG_NS_NET126_F1_(25)-NS_NET126_F1_(26);t;0.028999999165535;12148;12149;;;;10
981cca8e-ab1d-34d0-883a-6dcefc4be707;235975;1;;LTG_NS_NET126_F3_(22)-NS_NET126_F3_(23);t;0.025000000372529;12212;12213;;;;10
faaae7ba-a7b5-3968-ba7c-e8fe183a4d7c;235916;1;;LTG_NS_NET126_F3_(18)-NS_NET126_F3_(19);t;0.0309999994933605;12207;12208;;;;3
00ecec03-b9f6-373e-9c50-131c89375dbb;236031;1;;LTG_NS_NET146_F1_(1)-NS_NET146_F1_(2);t;0.0230000000447035;12264;12275;;;;10
5df3ba11-b0e2-3d12-9eaa-c7360add07d1;236038;1;;LTG_NS_NET146_F1_(21)-NS_NET146_F1_(22);t;0.0320000015199184;12277;12278;;;;10
b2666861-9baa-3cfe-9325-0d110a246a4b;236022;1;;LTG_NS_NET146_F2_(12)-NS_NET146_F2_(13);t;0.0280000008642673;12306;12307;;;;10
d7b744f2-481a-34b7-b8e1-98a4d4566548;236059;1;LINESTRING(7.39249992370605 51.810001373291,7.39249992370605 51.810001373291);LTG_NS_NET146_F2_(3)-NS_NET146_F2_(4);t;0.0260000005364418;12324;12325;;;;16
a2cd0073-3c5f-30ad-b75b-dcc7f20172b0;236060;1;;LTG_NS_NET146_F2_(8)-NS_NET146_F2_(9);t;0.0280000008642673;12329;12330;;;;10
9144f06a-4f36-3149-ab57-687af7d87d86;236082;1;;LTG_NS_NET146_F3_(1)-NS_NET146_F3_(2);t;0.0230000000447035;12331;12342;;;;16
3b8f031a-8c79-31e8-bd5c-c1df59ee0e5b;236062;1;;LTG_NS_NET146_F3_(1)-NS_NET146_ONS;t;0.0309999994933605;12331;12380;;;;10
