SuSa,SuSu,SuWd,TrSa,TrSu,TrWd,WiSa,WiSu,WiWd,quarterHour
226.3,202.5,154.8,255.8,224.3,188.2,262.6,217.3,194.5,83
220.6,197.5,153.6,248.3,217.1,187.1,251.7,212.5,191.7,84
213.9,190.5,152.2,240.7,208.0,184.0,241.3,205.9,187.0,85
206.1,182.0,150.0,232.6,197.2,178.9,231.2,197.3,180.2,86
197.2,172.2,146.1,223.4,184.8,171.4,220.9,186.5,171.4,87
187.1,161.7,139.7,212.5,170.9,161.7,210.2,173.2,160.5,88
175.6,150.7,130.3,199.4,155.9,149.6,198.6,157.6,147.6,89
163.1,139.2,118.7,184.8,140.2,136.0,186.3,140.7,133.5,90
150.3,127.1,106.4,169.6,124.6,122.0,173.5,123.9,119.4,91
137.4,114.3,94.7,154.7,109.7,108.5,160.5,108.5,106.2,92
125.1,100.9,84.5,141.0,96.0,96.4,147.5,95.6,95.0,93
113.5,87.5,76.0,128.5,83.9,85.8,134.7,84.9,85.4,94
102.9,75.1,68.7,117.3,73.4,76.4,122.4,76.0,76.9,95
93.5,64.7,62.4,107.4,64.7,68.1,110.9,68.1,69.3,96
