SuSa,SuSu,SuWd,TrSa,TrSu,TrWd,WiSa,WiSu,WiWd,quarterHour
111.5,86.1,120.3,117.4,93.9,122.3,132.1,108.6,134.0,40
118.6,93.9,126.5,127.4,105.7,130.2,144.7,120.0,145.5,41
124.2,100.2,131.0,135.7,115.5,137.0,156.7,128.8,156.8,42
128.3,105.0,134.4,142.2,123.0,142.5,166.9,135.6,166.2,43
131.1,108.6,136.9,146.7,128.1,146.7,174.1,140.9,172.2,44
132.7,111.1,139.0,149.3,130.8,149.6,177.4,144.9,173.6,45
133.4,112.7,140.3,150.3,131.5,151.2,177.7,147.8,171.6,46
133.4,113.8,140.7,150.2,131.4,151.5,176.2,149.4,167.7,47
133.0,114.4,139.9,149.7,131.1,150.6,174.1,149.7,163.4,48
132.5,115.0,137.8,149.0,131.3,148.8,172.6,148.5,159.9,49
131.8,115.4,134.6,148.7,131.6,146.4,172.0,146.8,157.5,50
131.3,115.9,131.0,148.8,131.4,143.9,172.4,145.2,155.8,51
131.1,116.4,127.2,149.7,130.1,141.8,174.1,144.8,154.6,52
131.1,116.9,123.7,151.4,127.3,140.6,177.1,146.0,153.7,53
131.4,117.2,120.9,153.6,123.6,140.1,180.4,148.3,153.2,54
131.8,116.8,119.0,155.5,120.0,140.0,183.0,151.1,153.1,55
132.1,115.4,118.4,156.5,117.4,139.9,183.9,153.6,153.6,56
132.1,112.9,119.2,156.3,116.5,139.7,182.4,155.1,154.7,57
132.2,109.8,121.2,155.1,116.8,139.9,179.5,155.5,156.8,58
132.4,107.1,124.0,153.7,117.6,141.1,176.6,155.0,160.2,59
133.0,105.6,127.2,152.6,118.4,143.8,175.1,153.6,165.3,60
134.2,106.0,130.4,152.3,118.4,148.4,176.0,151.4,172.2,61
135.9,107.7,133.4,152.9,118.0,153.9,178.9,149.0,180.0,62
137.8,110.1,136.0,154.4,117.6,159.3,182.8,147.2,187.6,63
139.9,112.5,137.9,156.5,117.4,163.4,186.8,146.7,193.7,64
141.9,114.4,139.2,159.3,117.9,165.3,190.3,148.1,197.6,65
144.0,116.2,140.4,162.9,119.3,166.2,193.8,151.2,200.5,66
146.6,118.3,142.3,167.1,122.0,167.4,197.9,155.7,203.9,67
149.7,121.3,145.7,172.2,126.2,170.2,203.5,161.4,209.3,68
153.5,125.5,151.2,177.8,132.0,175.7,210.8,167.8,217.7,69
157.4,130.3,157.9,183.6,138.7,183.0,218.8,174.5,227.8,70
160.9,135.1,164.6,188.8,145.2,190.7,226.3,180.7,237.7,71
163.4,138.9,170.2,192.7,150.6,197.6,231.8,185.9,245.5,72
164.2,141.3,173.9,194.9,154.2,202.6,234.4,189.5,249.8,73
163.7,142.6,176.0,195.6,156.4,206.0,234.5,192.1,251.2,74
162.3,143.2,177.2,195.4,157.9,208.0,233.0,193.9,250.7,75
160.4,143.8,178.0,194.7,159.4,209.3,230.9,195.6,249.4,76
158.4,144.6,179.1,193.9,161.5,210.2,228.7,197.5,248.2,77
156.5,145.5,180.2,193.2,163.8,210.9,226.9,199.4,247.2,78
154.8,146.0,181.2,192.5,165.9,211.6,225.3,200.9,246.3,79
153.6,145.7,181.9,191.7,167.3,212.3,224.0,201.5,245.5,80
152.8,144.4,182.1,190.9,167.6,213.1,223.0,201.0,244.7,81
152.1,142.0,181.6,189.7,166.9,213.5,221.5,199.2,243.3,82
150.9,138.8,180.3,187.8,165.1,213.1,218.9,196.2,240.6,83
148.7,135.0,178.0,184.9,162.4,211.3,214.2,191.7,235.7,84
144.9,130.6,174.6,180.5,158.7,207.6,207,185.8,228.3,85
139.3,125.3,169.9,174.2,153.5,201.8,197,178.1,218.5,86
131.9,118.8,163.6,165.4,146.1,194.0,184.4,168.1,206.9,87
122.3,110.5,155.5,153.6,136.0,183.9,169.2,155.5,193.7,88
110.7,100.5,145.6,138.6,122.8,171.7,151.8,140.2,179.5,89
98.1,89.4,134.3,122.0,108.1,157.9,133.7,123.7,164.8,90
85.9,78.4,122.4,105.8,93.6,143.5,116.7,107.7,150.1,91
75.3,68.5,110.5,91.9,81.2,129.1,102.7,93.9,136,92
67.3,60.5,99.2,82.0,72.3,115.5,93,83.8,122.8,93
61.5,54.4,88.7,75.4,66.4,102.7,86.6,76.7,110.6,94
57.3,50.0,78.7,70.9,62.5,91.0,82.2,71.6,99.1,95
53.8,47.0,69.5,67.5,59.7,80.2,78.3,67.5,88.0,96
