SuSa,SuSu,SuWd,TrSa,TrSu,TrWd,WiSa,WiSu,WiWd,quarterHour
171.0,159.0,165.3,176.6,152.2,165.7,164.4,155.6,163.9,82
165.6,156.5,162.3,167.3,148.2,161.5,151.5,147.3,155.6,83
160.1,153.9,160.1,157.9,145.9,158.9,141.9,141.4,148.9,84
155.1,151.5,158.4,149.5,144.7,157.2,135.3,137.2,143.4,85
151.1,149.3,156.8,142.9,143.6,155.4,131.0,133.7,138.4,86
149.0,147.3,154.8,139.0,141.5,152.3,128.2,129.8,133.2,87
148.9,145.4,151.9,138.3,137.5,147.2,126.1,124.8,127.2,88
149.6,143.0,147.9,139.2,131.8,140.3,124.1,118.6,120.5,89
149.4,139.2,142.5,139.5,124.7,132.1,121.6,111.6,113.3,90
146.5,133.2,135.7,137.3,116.5,123.2,118.2,104.0,105.7,91
139.8,124.4,127.2,131.1,107.6,114.0,113.4,96.2,98.0,92
130.3,113.8,117.5,121.9,98.4,104.8,107.4,88.4,90.2,93
119.5,102.5,107.1,111.5,89.2,95.6,100.8,80.7,82.5,94
109.0,91.6,96.5,101.5,80.7,86.6,94.1,73.2,74.9,95
