SuSa,SuSu,SuWd,TrSa,TrSu,TrWd,WiSa,WiSu,WiWd,quarterHour
67.2,62.6,66.1,71.4,64.8,70.3,73.9,68.3,72.4,0
65.6,60.6,63.1,69.4,62.7,67.1,73.0,66.0,69.4,1
64.3,58.9,60.5,68.0,61.3,64.3,72.6,64.3,66.9,2
63.0,57.4,58.4,66.7,60.2,62.1,72.3,63.0,64.8,3
61.4,56.2,56.7,65.3,59.2,60.3,71.5,62.1,63.2,4
59.7,55.2,55.4,63.9,58.2,59.1,70.4,61.4,61.9,5
58.0,54.4,54.4,62.4,57.3,58.1,69.1,60.8,61.0,6
56.5,53.7,53.7,61.1,56.5,57.4,67.6,60.2,60.2,7
55.2,53.2,53.2,60.0,55.8,56.9,66.2,59.5,59.6,8
54.2,52.7,52.7,59.1,55.3,56.4,64.8,58.8,59.2,9
53.4,52.3,52.3,58.3,54.9,56.0,63.4,58.0,58.8,10
52.8,51.9,51.9,57.4,54.7,55.6,62.1,57.4,58.4,11
52.3,51.4,51.4,56.6,54.6,55.1,60.7,57.0,57.9,12
51.8,50.9,51.0,55.7,54.6,54.5,59.4,56.7,57.4,13
51.4,50.5,50.5,55.1,54.7,54.1,58.3,56.6,56.9,14
50.9,50.0,50.0,54.7,54.7,53.7,57.4,56.5,56.5,15
50.5,49.6,49.6,54.6,54.5,53.6,56.9,56.4,56.3,16
50.2,49.4,49.4,54.7,54.3,53.7,56.8,56.5,56.3,17
50.0,49.5,49.5,55.1,54.3,54.0,57.0,56.8,56.6,18
50.0,50.0,50.0,55.6,54.7,54.7,57.4,57.4,57.4,19
50.3,51.2,51.2,56.1,55.5,55.6,58.2,58.5,58.8,20
50.9,53.1,52.9,56.6,57.3,57.2,59.2,60.5,60.9,21
51.7,56.0,55.3,57.4,60.3,59.8,60.5,63.7,63.8,22
52.8,60.2,58.4,58.4,64.8,63.9,62.1,68.5,67.6,23
54.4,65.8,62.2,59.9,71.3,69.8,64.1,75.3,72.5,24
57.2,73.2,67.4,62.9,79.8,77.6,67.4,84.1,79.0,25
62.2,82.6,74.8,68.8,90.6,87.6,72.9,94.8,87.7,26
70.4,94.5,85.2,78.7,103.7,100.0,81.5,107.4,99.1,27
82.4,108.8,98.9,93.4,119.3,114.8,93.9,121.9,113.6,28
97.4,124.7,114.9,111.6,136.3,131.3,109.4,137.8,130.5,29
114.2,141.0,131.8,131.4,153.8,148.6,126.9,155.0,148.9,30
131.5,156.5,148.2,151.0,170.4,165.8,145.4,173.2,167.7,31
148.2,170.1,162.6,168.6,185.3,181.9,163.8,191.7,185.8,32
162.8,180.5,173.9,183.2,197.0,195.1,181.0,208.6,201.7,33
173.8,186.6,180.6,193.7,204.6,203.4,195.6,221.4,213.6,34
179.7,187.1,181.6,199.2,206.6,204.7,206.6,227.9,219.5,35
179.6,181.6,176.1,198.9,202.4,198.0,212.9,226.4,218.5,36
174.9,171.8,166.1,194.1,193.4,185.5,214.6,218.6,211.6,37
167.2,160.1,154.1,186.2,181.5,170.6,212.1,206.6,200.8,38
158.4,149.1,142.6,176.9,168.6,156.5,205.6,192.7,188.0,39
150.1,140.8,133.8,167.6,156.5,145.9,195.9,178.9,175.0,40
143.4,135.6,128.2,159.6,146.4,139.0,185.0,167.0,163.4,41
139.1,133.7,125.8,154.0,139.6,135.5,175.4,158.1,154.5,42
138.0,135.2,126.9,151.9,137.1,135.2,169.5,153.8,150.1,43
140.4,139.9,131.2,153.9,139.4,137.5,168.9,154.6,150.7,44
144.4,145.6,136.6,157.9,144.3,140.7,171.3,158.2,154.1,45
147.5,149.8,140.9,161.3,148.8,143.1,173.5,161.5,157.4,46
147.3,150.1,141.7,161.2,150.1,142.6,172.3,161.2,157.5,47
142.0,144.6,137.4,155.8,146.0,138.2,165.4,155.2,152.2,48
133.1,135.3,129.4,146.7,138.1,130.9,154.5,145.4,143.2,49
122.7,124.5,119.9,135.9,128.5,122.5,142.0,134.4,132.7,50
113.0,114.9,111.2,126.0,119.5,114.9,130.6,125.0,123.2,51
105.7,108.4,104.8,118.5,112.9,109.4,122.1,119.4,116.5,52
100.6,104.7,100.8,113.1,108.6,105.9,116.1,116.9,112.5,53
96.8,102.8,98.5,108.8,105.7,103.9,111.6,116.1,110.3,54
93.6,101.9,97.3,104.7,103.7,102.8,107.4,115.8,109.3,55
90.3,101.1,96.5,100.0,102.0,102.1,102.9,114.8,108.8,56
87.1,100.4,96.2,95.3,100.5,101.7,98.2,113.2,108.5,57
84.4,99.7,96.2,91.1,99.2,101.4,94.0,111.3,108.4,58
82.4,99.1,96.3,88.0,98.2,101.0,90.8,109.3,108.4,59
81.5,98.6,96.7,86.6,97.4,100.4,88.9,107.5,108.3,60
81.3,98.1,97.0,86.3,96.7,99.9,88.2,106.1,108.3,61
81.4,97.7,97.2,86.7,96.1,99.4,88.0,105.4,108.6,62
81.5,97.3,97.3,87.1,95.4,99.1,88.0,105.6,109.3,63
81.3,96.9,97.0,87.1,94.7,99.2,87.9,106.9,110.6,64
81.3,96.9,96.8,87.3,94.5,99.9,88.5,109.8,113.1,65
81.8,97.5,97.1,88.5,95.8,101.6,90.9,114.4,117.4,66
83.4,99.1,98.2,91.7,99.1,104.7,96.3,121.3,124.1,67
86.6,102.1,100.6,97.4,105.2,109.4,105.5,130.7,133.7,68
91.7,106.8,104.8,105.7,114.0,116.2,117.8,142.4,146.0,69
99.2,113.7,111.5,116.2,125.3,125.6,132.7,156.1,160.5,70
109.3,123.2,121.3,128.8,138.9,138.0,149.1,171.4,176.9,71
122.1,135.4,134.4,142.9,154.5,153.5,166.4,187.8,194.5,72
135.8,148.9,148.9,157.3,170.3,170.2,183.4,204.1,211.5,73
148.6,161.8,162.6,170.7,184.6,185.8,199.0,218.5,226.1,74
158.4,172.3,173.2,181.6,195.4,198.2,212.1,229.7,236.2,75
163.6,178.8,178.9,188.7,201.4,205.5,221.5,236.2,240.4,76
164.4,181.1,179.8,191.7,202.7,207.5,226.2,237.4,238.7,77
161.5,179.2,176.5,190.6,199.9,204.7,224.9,232.9,231.5,78
155.6,173.2,169.5,185.3,193.6,197.3,216.8,222.3,219.5,79
147.4,163.4,159.6,175.8,184.4,185.9,201.3,205.7,203.4,80
137.8,151.4,148.1,163.7,173.4,172.1,181.3,185.5,184.9,81
127.9,138.9,136.4,150.5,161.6,157.7,160.3,164.7,166.1,82
118.6,127.8,126.0,138.0,150.1,144.5,141.7,146.4,149.1,83
110.7,119.5,117.9,127.4,139.6,133.8,128.3,132.6,135.6,84
104.1,113.5,111.9,118.8,130.3,125.5,119.3,123.0,125.2,85
98.5,108.8,107.1,111.6,122.1,118.8,113.2,116.3,117.3,86
93.6,104.7,102.8,105.6,114.9,113.0,108.4,111.2,111.2,87
88.9,100.2,98.5,100.3,108.4,107.7,103.7,106.6,106.1,88
84.6,95.4,94.1,95.5,102.5,102.5,98.8,102.1,101.7,89
80.6,90.4,89.6,90.9,97.0,97.6,93.9,97.6,97.7,90
76.9,85.2,85.2,86.1,91.7,92.6,88.9,92.6,93.6,91
73.4,80.0,81.0,81.1,86.4,87.7,84.0,87.2,89.1,92
