SuSa,SuSu,SuWd,TrSa,TrSu,TrWd,WiSa,WiSu,WiWd,quarterHour
99.0,94.6,98.5,92.5,87.6,91.2,95.3,87.8,94.7,0
100.0,95.3,99.0,93.0,87.3,90.2,95.5,88.3,94.1,1
100.9,96.0,99.4,93.7,87.4,89.4,96.2,89.0,94.1,2
101.0,96.2,99.2,94.3,87.7,88.9,97.4,90.1,95.0,3
99.8,95.3,98.1,94.5,88.0,88.7,98.9,91.3,96.6,4
97.9,93.9,96.4,94.5,88.4,88.8,100.3,92.4,98.4,5
95.8,92.4,94.8,94.3,88.9,89.1,101.0,92.9,99.8,6
94.3,91.3,93.7,94.3,89.5,89.5,100.4,92.5,99.8,7
94.0,91.1,93.6,94.7,90.3,90.0,98.2,91.0,98.0,8
94.3,91.5,94.1,95.0,91.0,90.3,95.1,88.7,95.1,9
94.8,92.1,94.7,95.0,91.2,90.2,91.9,86.4,91.9,10
95.0,92.5,95.0,94.3,90.7,89.5,89.5,84.7,89.5,11
94.3,92.4,94.4,92.7,89.2,88.0,88.6,84.0,88.4,12
93.1,91.9,93.3,90.6,87.2,86.1,88.6,84.0,88.3,13
91.7,91.2,92.2,88.3,85.1,84.0,88.7,84.0,88.3,14
90.7,90.7,91.3,86.5,83.5,82.3,88.3,83.5,87.7,15
90.3,90.5,91.0,85.4,82.7,81.1,86.8,82.1,86.1,16
90.2,90.4,91.1,85.1,82.7,80.5,85.1,80.6,84.3,17
90.1,90.1,91.1,85.1,83.1,80.4,84.2,80.1,83.5,18
89.5,89.5,90.7,85.3,83.5,80.4,85.3,81.6,84.7,19
88.2,88.5,89.8,85.4,83.7,80.7,89.0,85.9,88.5,20
87.0,87.7,89.0,85.8,84.0,81.3,94.1,91.6,94.0,21
86.7,88.2,89.2,86.9,84.8,82.5,99.3,97.0,99.5,22
88.3,90.7,91.3,88.9,86.5,84.7,102.8,100.4,103.4,23
92.2,95.8,95.9,92.1,89.2,87.9,103.7,100.7,104.7,24
97.3,102.0,101.6,95.7,92.4,91.6,102.6,98.8,104.0,25
102.2,107.6,106.9,99.0,95.4,95.2,100.7,96.2,102.4,26
105.2,110.7,110.1,101.0,97.4,98.0,99.2,94.3,101.0,27
105.5,110.0,110.1,101.3,97.9,99.6,99.1,94.4,100.8,28
104.6,106.9,108.4,101.1,97.6,100.9,100.8,95.7,102.1,29
104.6,103.1,107.1,102.3,97.3,102.8,104.4,97.6,105.3,30
107.7,100.4,108.3,106.4,98.0,106.4,110.1,99.2,110.7,31
115.0,100.2,113.3,114.6,100.1,112.4,117.7,99.7,118.2,32
125.0,101.8,120.8,124.9,102.9,119.5,126.1,99.6,126.7,33
134.9,104.0,128.9,134.7,105.4,126.3,133.9,99.2,134.7,34
142.1,105.8,135.5,141.5,106.4,131.2,139.7,99.2,140.9,35
144.9,106.3,139.1,143.4,105.4,133.3,142.4,99.8,144.2,36
144.1,105.8,140.3,141.8,102.9,133.2,142.9,100.9,145.4,37
141.8,104.8,140.3,138.6,99.9,132.1,142.4,102.1,145.5,38
139.7,104.0,140.3,136.1,97.4,131.2,142.1,102.8,145.8,39
139.2,103.8,141.1,135.7,96.1,131.5,142.9,102.9,147.0,40
140.0,104.1,142.5,137.1,95.9,132.8,144.5,102.5,149.0,41
141.4,104.5,144.0,139.3,96.3,134.7,146.3,101.8,151.2,42
142.7,104.6,145.1,141.5,96.8,136.7,147.6,101.0,153.0,43
143.4,104.4,145.7,143.0,96.9,138.4,147.9,100.4,154.0,44
143.7,104.0,145.8,143.6,96.8,139.7,147.5,100.0,154.3,45
143.7,103.9,145.9,143.7,96.6,140.6,146.8,99.8,154.3,46
143.9,104.6,146.4,143.3,96.2,140.9,146.4,99.8,154.2,47
144.5,106.3,147.4,142.7,95.7,140.7,146.3,100.0,154.3,48
145.0,108.3,148.6,141.8,95.4,140.0,146.5,100.5,154.5,49
145.0,110.1,149.1,140.8,95.1,139.0,146.2,101.0,154.3,50
143.9,110.7,148.2,139.7,95.0,137.9,145.1,101.6,153.6,51
141.5,109.7,145.4,138.4,95.0,136.8,142.8,102.2,152.2,52
137.8,107.5,141.4,136.8,95.3,135.9,139.3,102.4,149.9,53
133.3,105.0,137.2,134.5,95.6,135.0,134.6,102.1,147.0,54
128.2,102.8,133.7,131.2,96.2,134.3,128.8,101.0,143.3,55
123.0,101.5,131.5,126.9,96.7,133.7,122.3,98.9,139.2,56
118.2,101.0,130.7,121.9,97.3,133.3,115.5,96.3,135.2,57
114.1,100.9,130.9,117.1,97.5,133.1,109.4,93.8,132.1,58
111.3,101.0,131.8,113.1,97.4,133.1,104.6,91.9,130.6,59
110.0,100.9,133.3,110.4,96.7,133.2,101.8,91.1,131.3,60
110.0,100.8,135.0,108.6,95.8,133.4,100.5,91.2,133.5,61
110.6,100.6,136.6,107.5,94.9,133.6,100.2,91.8,136.2,62
111.3,100.4,137.9,106.4,94.3,133.7,100.4,92.5,138.5,63
111.7,100.3,138.6,105.2,94.4,133.4,100.6,93.1,139.8,64
111.9,100.2,139.0,104.1,95.0,133.1,101.0,93.4,140.3,65
112.1,100.3,139.2,103.5,95.9,132.9,101.9,93.6,140.5,66
112.5,100.4,139.7,104.0,96.8,133.1,103.4,93.7,140.9,67
113.2,100.5,140.6,105.8,97.6,133.6,105.8,93.9,142.0,68
113.9,100.7,141.6,108.1,98.2,134.5,108.7,94.3,143.7,69
114.2,100.6,142.4,110.2,98.8,135.6,111.5,95.2,145.8,70
113.7,100.4,142.7,111.3,99.2,136.7,113.7,96.8,148.2,71
112.1,99.9,142.3,110.7,99.5,137.6,115.0,99.1,150.6,72
110.2,99.7,141.3,109.0,99.9,138.0,115.7,102.2,152.5,73
109.0,100.2,139.9,107.1,100.5,137.6,116.3,105.7,153.3,74
109.5,102.2,138.5,105.8,101.6,136.1,117.3,109.5,152.4,75
112.2,105.9,137.2,105.9,103.2,133.2,119.0,113.2,149.3,76
116.2,110.3,135.9,107.0,105.2,129.6,120.6,116.3,144.4,77
120.2,114.5,134.3,108.7,107.4,126.1,121.4,117.9,138.4,78
122.8,117.3,132.4,110.7,109.5,123.4,120.4,117.3,131.8,79
123.0,117.9,130.0,112.4,111.2,122.1,117.0,114.2,125.3,80
121.2,116.5,127.2,113.5,112.4,121.6,112.1,109.4,119.3,81
118.3,113.9,124.1,113.9,112.5,121.1,106.8,104.2,114.3,82
114.9,110.7,121.0,113.1,111.3,119.7,102.2,99.8,110.7,83
111.7,107.4,117.8,111.1,108.5,117.0,99.2,97.1,108.8,84
108.9,104.4,114.9,108.3,104.8,113.3,97.4,95.9,108.1,85
106.5,101.8,112.2,105.1,100.8,109.4,96.4,95.4,108,86
104.6,99.8,110.1,102.2,97.4,105.8,95.6,95.0,107.7,87
103.2,98.5,108.5,99.9,95.0,103.2,94.5,94.1,106.6,88
102.1,97.6,107.2,98.1,93.5,101.3,93.3,92.8,104.9,89
101.1,96.8,106.0,96.5,92.4,99.9,92.0,91.2,103.0,90
99.8,95.6,104.6,95.0,91.3,98.6,90.7,89.5,101.0,91
98.2,93.8,102.9,93.1,89.9,97.1,89.6,87.8,99.3,92
96.4,91.9,101.1,91.3,88.4,95.6,88.6,86.4,97.8,93
95.0,90.7,99.5,89.6,87.2,94.0,88.0,85.7,96.6,94
94.3,90.7,98.6,88.3,86.5,92.5,87.7,85.9,95.6,95
