SuSa,SuSu,SuWd,TrSa,TrSu,TrWd,WiSa,WiSu,WiWd,quarterHour
54.4,50.4,59.4,55.4,48.4,61.5,55.4,53.4,63.5,83
52.6,49.4,58.3,54.1,47.7,60.6,53.9,52.2,61.1,84
51.0,48.2,57.0,52.4,47.3,59.9,52.2,50.5,58.5,85
49.5,47.1,55.8,50.7,46.9,59.2,50.4,48.5,56.1,86
48.4,46.3,55.4,49.4,46.3,58.4,48.4,46.3,54.4,87
47.6,46.2,56.0,48.6,45.6,57.7,46.1,44.1,53.6,88
47.1,46.4,57.7,48.1,44.6,57.1,43.8,42.0,53.6,89
47.1,46.9,60.2,47.8,43.5,56.9,41.8,40.0,53.9,90
47.4,47.4,63.5,47.4,42.3,57.4,40.3,38.3,54.4,91
48.0,47.7,67.3,46.5,41.1,58.7,39.6,36.9,54.7,92
48.7,47.9,70.6,45.5,40.1,60.1,39.4,36.0,54.6,93
49.3,48.1,72.4,44.3,39.4,60.6,39.4,35.8,53.9,94
49.4,48.4,71.5,43.3,39.3,59.4,39.3,36.3,52.4,95
