SuSa,SuSu,SuWd,TrSa,TrSu,TrWd,WiSa,WiSu,WiWd,quarterHour
22.3,23.0,31.0,24.1,22.8,31.9,31.5,32.3,38.7,83
22.7,22.7,30.3,24.6,22.7,30.3,30.3,32.2,37.9,84
23.3,23.0,29.3,25.6,22.3,28.7,29.0,31.5,36.7,85
23.9,23.6,28.2,26.8,21.8,27.1,27.8,30.4,35.2,86
24.4,24.3,27.2,27.9,21.3,25.7,26.9,29.2,33.6,87
24.6,24.6,26.5,28.4,20.8,24.6,26.5,28.4,32.2,88
24.3,24.4,26.2,28.0,20.6,23.8,26.7,28.1,30.9,89
23.8,23.9,26.2,27.0,20.6,23.4,27.3,28.2,29.9,90
23.2,23.2,26.4,25.8,20.7,23.0,28.0,28.4,29.1,91
22.7,22.7,26.5,24.6,20.8,22.7,28.4,28.4,28.4,92
22.6,22.6,26.4,23.8,21.0,22.3,28.4,28.1,27.8,93
22.7,22.6,26.0,23.3,21.1,21.9,28.0,27.6,27.2,94
22.8,22.8,25.4,23.0,21.0,21.4,27.3,27.0,26.8,95
22.7,22.7,24.6,22.7,20.8,20.8,26.5,26.5,26.5,96
